Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,63.73056994818653,49.280575539568346,1713.991
Partición 1-2,62.17616580310881,47.12230215827338,1931.61
Partición 2-1,59.067357512953365,48.201438848920866,1877.809
Partición 2-2,65.80310880829016,50.719424460431654,1961.349
Partición 3-1,64.76683937823834,47.84172661870504,1943.112
Partición 3-2,61.13989637305699,50.0,1941.344
Partición 4-1,62.17616580310881,46.402877697841724,1816.794
Partición 4-2,63.73056994818653,47.12230215827338,1820.4
Partición 5-1,64.76683937823834,46.0431654676259,2052.366
Partición 5-2,65.28497409326425,50.719424460431654,1761.508
Media,63.264248704663224,48.34532374100719,1882.0283000000004
